engine_no,MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.cycles.MAX(recordings.operational_setting_1)),MAX(recordings.cycles.MAX(recordings.operational_setting_2)),MAX(recordings.cycles.MAX(recordings.operational_setting_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_1)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_10)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_11)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_12)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_13)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_14)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_15)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_16)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_17)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_18)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_19)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_2)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_20)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_21)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_3)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_4)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_5)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_6)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_7)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_8)),MAX(recordings.cycles.MAX(recordings.sensor_measurement_9)),remaining_useful_life
118,42.0077,0.8413,100.0,518.67,1.3,47.34,523.86,2388.12,8148.68,10.8467,0.03,393,2388,100.0,642.55,39.26,23.586,1593.17,1407.6,14.62,21.6,556.83,2388.15,9064.45,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,442
119,42.0079,0.842,100.0,518.67,1.3,47.67,522.0,2388.2,8142.16,10.9303,0.03,394,2388,100.0,643.18,39.11,23.4951,1596.48,1410.97,14.62,21.61,554.41,2388.15,9067.2,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,86
120,42.0075,0.8419,100.0,518.67,1.3,47.5,522.58,2388.13,8144.25,10.91,0.03,394,2388,100.0,642.67,39.13,23.4576,1593.92,1409.03,14.62,21.61,554.88,2388.11,9066.86,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,76
121,42.008,0.8419,100.0,518.67,1.3,47.57,522.61,2388.18,8145.59,10.9291,0.03,394,2388,100.0,643.02,39.04,23.4672,1594.85,1410.38,14.62,21.61,554.21,2388.12,9063.83,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,93
122,42.0078,0.8419,100.0,518.67,1.3,47.59,522.17,2388.18,8134.54,10.925,0.03,394,2388,100.0,643.02,39.07,23.4738,1589.35,1413.46,14.62,21.61,554.7,2388.12,9053.89,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,73
123,42.0075,0.8418,100.0,518.67,1.3,47.65,521.97,2388.22,8129.04,10.9458,0.03,394,2388,100.0,643.13,39.01,23.3665,1594.58,1415.05,14.62,21.61,553.85,2388.17,9057.03,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,125
124,42.0076,0.8419,100.0,518.67,1.3,47.66,522.79,2388.17,8137.93,10.9221,0.03,395,2388,100.0,643.02,38.99,23.3884,1596.7,1420.02,14.62,21.61,553.99,2388.18,9055.08,42.008,0.842,100.0,518.67,1.3,47.93,525.54,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,69
125,42.0076,0.8418,100.0,518.67,1.3,47.41,525.73,2388.22,8152.12,10.8666,0.03,394,2388,100.0,642.49,39.28,23.6145,1588.23,1403.74,14.62,21.61,557.56,2388.15,9067.53,42.008,0.842,100.0,518.67,1.3,47.93,525.73,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,138
126,42.0078,0.842,100.0,518.67,1.3,47.27,521.77,2388.1,8139.87,10.8957,0.03,392,2388,100.0,642.41,39.23,23.4834,1588.48,1405.65,14.62,21.58,554.24,2388.02,9059.17,42.008,0.842,100.0,518.67,1.3,47.93,525.73,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,201
127,42.0077,0.842,100.0,518.67,1.3,47.29,522.69,2388.09,8140.59,10.8667,0.03,393,2388,100.0,642.41,39.23,23.5724,1588.08,1401.31,14.62,21.6,554.86,2388.03,9057.51,42.008,0.842,100.0,518.67,1.3,47.93,525.73,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6456,1603.11,1421.42,14.62,21.61,558.01,2388.23,9079.48,134
128,42.0078,0.8417,100.0,518.67,1.3,47.5,525.97,2388.3,8151.76,10.8234,0.03,394,2388,100.0,643.17,39.39,23.6472,1594.87,1406.48,14.62,21.61,558.44,2388.14,9073.18,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,147
129,42.0072,0.8419,100.0,518.67,1.3,47.66,522.22,2388.19,8140.49,10.9233,0.03,394,2388,100.0,643.21,39.05,23.4131,1598.49,1409.66,14.62,21.61,554.29,2388.11,9056.9,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,89
130,42.008,0.8418,100.0,518.67,1.3,47.38,522.61,2388.29,8149.51,10.9082,0.03,394,2388,100.0,642.88,39.16,23.518,1597.13,1406.5,14.62,21.61,554.72,2388.08,9069.42,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,65
131,42.0078,0.8418,100.0,518.67,1.3,47.24,523.02,2388.11,8141.88,10.8667,0.03,393,2388,100.0,642.44,39.35,23.6161,1587.87,1406.4,14.62,21.6,555.58,2388.04,9061.48,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,269
132,42.0073,0.842,100.0,518.67,1.3,47.22,521.47,2388.08,8140.07,10.8942,0.03,394,2388,100.0,642.48,39.05,23.474,1587.37,1402.84,14.62,21.58,553.86,2388.0,9059.89,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,153
133,42.0078,0.842,100.0,518.67,1.3,47.4,520.14,2388.04,8138.39,10.9106,0.03,392,2388,100.0,642.76,39.03,23.4463,1585.74,1403.23,14.62,21.58,552.59,2387.92,9041.28,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,388
134,42.0076,0.8419,100.0,518.67,1.3,47.3,523.06,2388.32,8157.61,10.9039,0.03,392,2388,100.0,642.32,39.17,23.5208,1589.56,1408.63,14.62,21.61,555.37,2388.07,9072.72,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,146
135,42.0077,0.8419,100.0,518.67,1.3,47.78,521.53,2388.29,8126.19,10.9408,0.03,395,2388,100.0,643.17,39.01,23.4885,1599.07,1415.34,14.62,21.61,553.8,2388.2,9053.01,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,48
136,42.0078,0.842,100.0,518.67,1.3,47.4,521.07,2388.03,8137.54,10.9104,0.03,391,2388,100.0,642.57,39.11,23.4111,1582.9,1405.54,14.62,21.59,553.01,2387.96,9047.63,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,104
137,42.0078,0.8418,100.0,518.67,1.3,47.49,522.6,2388.12,8143.67,10.9125,0.03,394,2388,100.0,642.8,39.13,23.4636,1592.67,1410.57,14.62,21.61,554.65,2388.1,9062.17,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,124
138,42.0074,0.842,100.0,518.67,1.3,47.67,522.79,2388.21,8137.51,10.9294,0.03,395,2388,100.0,643.27,39.01,23.4089,1597.02,1417.11,14.62,21.61,554.63,2388.18,9066.92,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,77
139,42.0079,0.8419,100.0,518.67,1.3,47.38,523.11,2388.28,8152.19,10.888,0.03,393,2388,100.0,642.65,39.21,23.5069,1589.16,1401.21,14.62,21.61,555.15,2388.05,9070.29,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,150
140,42.0078,0.8419,100.0,518.67,1.3,47.4,524.97,2388.14,8146.29,10.8624,0.03,394,2388,100.0,642.67,39.22,23.5555,1589.83,1405.24,14.62,21.6,557.12,2388.06,9062.95,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,197
141,42.0063,0.842,100.0,518.67,1.3,47.74,521.55,2388.24,8138.51,10.9505,0.03,395,2388,100.0,643.41,39.01,23.3449,1596.44,1418.66,14.62,21.61,553.71,2388.17,9066.74,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,98
142,42.008,0.842,100.0,518.67,1.3,47.41,522.79,2388.17,8144.07,10.9042,0.03,393,2388,100.0,642.76,39.21,23.5216,1591.08,1407.14,14.62,21.61,555.43,2388.1,9063.22,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,108
143,42.0077,0.8419,100.0,518.67,1.3,47.53,522.45,2388.17,8142.43,10.9056,0.03,393,2388,100.0,643.07,39.12,23.467,1596.18,1409.55,14.62,21.61,554.61,2388.13,9065.59,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,83
144,42.0071,0.8419,100.0,518.67,1.3,47.34,524.49,2388.15,8148.45,10.8734,0.03,393,2388,100.0,642.36,39.33,23.5579,1592.14,1401.11,14.62,21.6,556.8,2388.08,9064.84,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,196
145,42.0074,0.8418,100.0,518.67,1.3,47.31,523.05,2388.35,8158.26,10.9207,0.03,392,2388,100.0,642.55,39.2,23.5072,1589.54,1408.38,14.62,21.61,555.37,2388.04,9073.32,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,127
146,42.008,0.842,100.0,518.67,1.3,47.43,522.56,2388.13,8141.98,10.8916,0.03,394,2388,100.0,642.67,39.06,23.5253,1588.16,1407.09,14.62,21.61,554.57,2388.09,9058.72,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,202
147,42.008,0.842,100.0,518.67,1.3,47.67,522.22,2388.2,8133.9,10.9357,0.03,394,2388,100.0,643.25,39.1,23.4132,1594.34,1417.21,14.62,21.61,554.11,2388.19,9050.01,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,133
148,42.0079,0.8417,100.0,518.67,1.3,47.24,521.64,2388.06,8142.41,10.893,0.03,394,2388,100.0,642.68,39.24,23.5573,1586.69,1399.37,14.62,21.58,553.39,2387.97,9056.84,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,92
149,42.0074,0.8419,100.0,518.67,1.3,47.44,524.97,2388.15,8148.83,10.865,0.03,394,2388,100.0,642.65,39.39,23.6066,1592.79,1408.82,14.62,21.6,557.32,2388.1,9069.0,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,160
150,42.0075,0.8419,100.0,518.67,1.3,47.71,522.15,2388.18,8138.87,10.9297,0.03,395,2388,100.0,643.07,39.03,23.4547,1597.79,1414.39,14.62,21.61,554.34,2388.16,9056.15,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,48
151,42.0076,0.8419,100.0,518.67,1.3,47.19,521.65,2388.09,8138.64,10.8791,0.03,392,2388,100.0,642.55,39.13,23.4557,1584.79,1405.38,14.62,21.58,554.17,2388.0,9054.92,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,250
152,42.0079,0.8419,100.0,518.67,1.3,47.38,522.56,2388.27,8151.62,10.9368,0.03,394,2388,100.0,642.8,39.11,23.5147,1590.39,1411.47,14.62,21.61,554.9,2388.11,9073.63,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,161
153,42.008,0.842,100.0,518.67,1.3,47.68,522.7,2388.19,8145.33,10.929,0.03,395,2388,100.0,642.81,39.12,23.4103,1594.87,1411.55,14.62,21.61,554.02,2388.12,9064.29,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,67
154,42.0074,0.842,100.0,518.67,1.3,47.4,522.06,2388.05,8136.9,10.8914,0.03,393,2388,100.0,642.68,39.05,23.5217,1590.0,1405.26,14.62,21.58,553.7,2387.97,9052.25,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,102
155,42.0079,0.842,100.0,518.67,1.3,47.31,522.05,2388.06,8140.1,10.8883,0.03,393,2388,100.0,642.33,39.16,23.5876,1591.47,1400.26,14.62,21.59,553.93,2388.02,9053.62,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,194
156,42.0077,0.8419,100.0,518.67,1.3,47.66,522.7,2388.24,8130.83,10.9276,0.03,394,2388,100.0,643.14,39.1,23.4593,1595.65,1411.96,14.62,21.61,554.02,2388.17,9049.36,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,38
157,42.0079,0.8419,100.0,518.67,1.3,47.14,519.72,2388.03,8132.01,10.9342,0.03,393,2388,100.0,642.23,39.08,23.4495,1584.37,1395.6,14.62,21.57,551.84,2388.01,9043.94,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,197
158,42.0075,0.8419,100.0,518.67,1.3,47.47,525.19,2388.18,8151.1,10.8455,0.03,394,2388,100.0,642.93,39.36,23.5893,1591.12,1405.84,14.62,21.61,557.61,2388.13,9066.32,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,298
159,42.0061,0.8418,100.0,518.67,1.3,47.46,519.59,2388.03,8126.84,10.9244,0.03,391,2388,100.0,642.85,39.01,23.3852,1585.12,1405.79,14.62,21.58,551.54,2387.82,9043.28,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,187
160,42.0078,0.8419,100.0,518.67,1.3,47.61,522.59,2388.17,8144.37,10.9263,0.03,393,2388,100.0,643.19,39.19,23.4481,1591.4,1409.94,14.62,21.61,554.6,2388.1,9066.86,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,86
161,42.0075,0.8419,100.0,518.67,1.3,47.3,523.1,2388.06,8141.2,10.8932,0.03,394,2388,100.0,642.58,39.23,23.5919,1589.48,1399.38,14.62,21.61,555.24,2388.06,9057.04,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,202
162,42.008,0.842,100.0,518.67,1.3,47.37,519.54,2388.03,8126.75,10.9299,0.03,392,2388,100.0,642.24,38.99,23.4114,1582.16,1403.39,14.62,21.58,551.67,2387.93,9047.53,42.008,0.842,100.0,518.67,1.3,47.93,525.97,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.6472,1603.11,1421.42,14.62,21.61,558.44,2388.23,9079.48,212
163,42.0079,0.8419,100.0,518.67,1.31,47.46,526.75,2388.28,8153.6,10.8265,0.03,393,2388,100.0,642.82,39.38,23.653,1594.56,1408.35,14.62,21.61,559.36,2388.17,9075.33,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,184
164,42.008,0.8418,100.0,518.67,1.3,47.22,521.13,2388.02,8134.65,10.9106,0.03,392,2388,100.0,642.48,39.1,23.475,1588.66,1402.25,14.62,21.59,553.56,2387.98,9058.73,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,279
165,42.0079,0.842,100.0,518.67,1.3,47.46,522.87,2388.34,8152.66,10.9189,0.03,393,2388,100.0,643.18,39.23,23.5025,1593.35,1403.79,14.62,21.61,554.83,2388.1,9072.82,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,154
166,42.0076,0.842,100.0,518.67,1.3,47.63,522.52,2388.23,8150.59,10.9259,0.03,394,2388,100.0,642.95,39.07,23.4378,1594.83,1413.94,14.62,21.61,554.4,2388.13,9070.36,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,168
167,42.0068,0.8419,100.0,518.67,1.3,47.57,522.39,2388.21,8137.65,10.9185,0.03,395,2388,100.0,642.93,39.1,23.5025,1594.53,1411.57,14.62,21.61,554.8,2388.14,9056.38,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,162
168,42.0077,0.8418,100.0,518.67,1.3,47.34,522.47,2388.34,8152.73,10.9179,0.03,394,2388,100.0,642.69,39.08,23.4449,1590.54,1405.69,14.62,21.61,554.69,2388.05,9075.1,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,95
169,42.008,0.842,100.0,518.67,1.3,47.34,521.2,2388.06,8135.82,10.8896,0.03,392,2388,100.0,642.58,39.12,23.5048,1585.97,1406.51,14.62,21.58,553.64,2387.96,9052.3,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,126
170,42.0075,0.8419,100.0,518.67,1.3,47.69,522.31,2388.21,8134.88,10.9342,0.03,396,2388,100.0,642.9,39.07,23.4886,1600.35,1413.32,14.62,21.61,554.51,2388.17,9054.18,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,60
171,42.0078,0.8419,100.0,518.67,1.3,47.46,525.39,2388.21,8148.91,10.8379,0.03,393,2388,100.0,642.68,39.32,23.6405,1593.78,1406.77,14.62,21.61,557.91,2388.12,9068.48,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,298
172,42.008,0.842,100.0,518.67,1.3,47.68,522.53,2388.19,8148.64,10.9297,0.03,394,2388,100.0,642.91,39.11,23.4377,1599.24,1410.59,14.62,21.61,554.56,2388.11,9070.2,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,172
173,42.0077,0.8419,100.0,518.67,1.3,47.32,522.62,2388.04,8142.59,10.9073,0.03,393,2388,100.0,642.41,39.23,23.6299,1589.67,1399.1,14.62,21.6,555.03,2388.04,9057.38,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,356
174,42.0078,0.8418,100.0,518.67,1.3,47.24,521.37,2388.06,8141.26,10.8855,0.03,392,2388,100.0,642.69,39.2,23.4866,1585.55,1397.76,14.62,21.58,553.58,2387.98,9056.72,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1421.42,14.62,21.61,559.36,2388.23,9079.48,269
175,42.0073,0.8419,100.0,518.67,1.3,47.77,521.82,2388.25,8134.2,10.944,0.03,396,2388,100.0,643.19,39.09,23.393,1598.13,1423.56,14.62,21.61,553.82,2388.2,9056.73,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,55
176,42.0078,0.842,100.0,518.67,1.3,47.47,522.55,2388.16,8142.28,10.915,0.03,393,2388,100.0,642.71,39.16,23.525,1591.04,1405.31,14.62,21.61,555.06,2388.11,9060.95,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,79
177,42.007,0.8418,100.0,518.67,1.3,47.56,521.99,2388.17,8139.64,10.9449,0.03,395,2388,100.0,643.11,38.97,23.3932,1596.29,1413.92,14.62,21.61,554.58,2388.14,9060.4,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,141
178,42.0079,0.8418,100.0,518.67,1.3,47.68,522.25,2388.2,8132.53,10.9261,0.03,396,2388,100.0,643.45,39.01,23.4497,1596.79,1418.55,14.62,21.61,554.54,2388.17,9055.45,42.008,0.842,100.0,518.67,1.31,47.93,526.75,2388.45,8163.77,10.9741,0.03,396,2388,100.0,643.74,39.41,23.653,1603.11,1423.56,14.62,21.61,559.36,2388.23,9079.48,69
